"date","realestate_category_name","listings_lower_price","listings","average_lower_counter","listing_days","listings_lower_than_first_price","average_lower_price"
"2025-11-18T00:00:00Z","Fjölbýli","561","2686","0.35740878629932985853","187.0830230826507818","534",""
"2025-11-18T00:00:00Z","Sérbýli","89","397","0.31738035264483627204","99.9924433249370277","86",""
"2025-11-17T00:00:00Z","Fjölbýli","559","2701","0.35331113577506474288","185.6477987421383648","533",""
"2025-11-17T00:00:00Z","Sérbýli","88","400","0.31000000000000000000","99.1050000000000000","84",""
"2025-11-16T00:00:00Z","Fjölbýli","558","2691","0.35364041604754829123","185.5070579494799406","531",""
"2025-11-16T00:00:00Z","Sérbýli","89","401","0.31172069825436408978","98.4638403990024938","86",""
"2025-11-15T00:00:00Z","Fjölbýli","559","2695","0.35311572700296735905","184.3772255192878338","533",""
"2025-11-15T00:00:00Z","Sérbýli","88","400","0.31000000000000000000","97.7100000000000000","85",""
"2025-11-14T00:00:00Z","Fjölbýli","571","2715","0.35530191458026509573","183.9933726067746686","544",""
"2025-11-14T00:00:00Z","Sérbýli","89","403","0.30693069306930693069","96.1287128712871287","85",""
"2025-11-13T00:00:00Z","Fjölbýli","523","2723","0.33724770642201834862","183.9867889908256881","497",""
"2025-11-13T00:00:00Z","Sérbýli","87","399","0.30576441102756892231","97.2681704260651629","83",""
"2025-11-12T00:00:00Z","Fjölbýli","519","2723","0.33590308370044052863","183.2753303964757709","493",""
"2025-11-12T00:00:00Z","Sérbýli","87","399","0.30576441102756892231","96.8822055137844612","84",""
"2025-11-11T00:00:00Z","Fjölbýli","520","2717","0.33701250919793966152","183.3256070640176600","493",""
"2025-11-11T00:00:00Z","Sérbýli","86","402","0.30099502487562189055","96.4776119402985075","83",""
"2025-11-10T00:00:00Z","Fjölbýli","518","2711","0.33677609738104020657","183.5344891184064921","488",""
"2025-11-10T00:00:00Z","Sérbýli","86","399","0.30000000000000000000","96.1800000000000000","82",""
"2025-11-09T00:00:00Z","Fjölbýli","518","2699","0.33790292701000370508","183.4790663208595776","491",""
"2025-11-09T00:00:00Z","Sérbýli","87","397","0.30478589420654911839","95.9571788413098237","84",""
"2025-11-08T00:00:00Z","Fjölbýli","520","2698","0.33901444979622082253","182.7128566135605780","493",""
"2025-11-08T00:00:00Z","Sérbýli","87","398","0.30150753768844221106","94.7814070351758794","83",""
"2025-11-07T00:00:00Z","Fjölbýli","526","2716","0.33946980854197349043","181.3262150220913108","498",""
"2025-11-07T00:00:00Z","Sérbýli","86","397","0.29722921914357682620","94.4433249370277078","83",""
"2025-11-06T00:00:00Z","Fjölbýli","528","2702","0.34344929681717246484","181.6717246484085862","501",""
"2025-11-06T00:00:00Z","Sérbýli","86","392","0.30102040816326530612","94.7474489795918367","83",""
"2025-11-05T00:00:00Z","Fjölbýli","526","2700","0.34259259259259259259","181.4733333333333333","500",""
"2025-11-05T00:00:00Z","Sérbýli","87","394","0.29949238578680203046","94.7588832487309645","83",""
"2025-11-04T00:00:00Z","Fjölbýli","535","2703","0.34591194968553459119","181.1568627450980392","507",""
"2025-11-04T00:00:00Z","Sérbýli","85","393","0.29516539440203562341","94.4096692111959288","82",""
"2025-11-03T00:00:00Z","Fjölbýli","534","2702","0.34406215316315205327","180.6814650388457270","505",""
"2025-11-03T00:00:00Z","Sérbýli","85","396","0.29219143576826196474","93.4080604534005038","82",""
"2025-11-02T00:00:00Z","Fjölbýli","534","2698","0.34469977761304670126","180.1130467012601927","507",""
"2025-11-02T00:00:00Z","Sérbýli","85","397","0.28967254408060453401","92.3299748110831234","81",""
"2025-11-01T00:00:00Z","Fjölbýli","535","2696","0.34569732937685459941","179.6483679525222552","508",""
"2025-11-01T00:00:00Z","Sérbýli","85","395","0.29113924050632911392","91.7974683544303797","82",""
"2025-10-31T00:00:00Z","Fjölbýli","538","2703","0.34504437869822485207","178.6823224852071006","511",""
"2025-10-31T00:00:00Z","Sérbýli","84","398","0.28643216080402010050","91.9321608040201005","81",""
"2025-10-30T00:00:00Z","Fjölbýli","538","2689","0.34696913350687988100","178.9315730754927482","512",""
"2025-10-30T00:00:00Z","Sérbýli","84","396","0.28787878787878787879","92.5101010101010101","81",""
"2025-10-29T00:00:00Z","Fjölbýli","543","2689","0.34856930509104422148","178.4570791527313266","516",""
"2025-10-29T00:00:00Z","Sérbýli","84","392","0.28571428571428571429","92.5637755102040816","80",""
"2025-10-28T00:00:00Z","Fjölbýli","544","2691","0.35265700483091787440","179.3006317354143441","518",""
